id,ACS11_5yr_B08101009,ACS11_5yr_B08101001,ACS11_5yr_B08101025,ACS11_5yr_B08101001
g48491020318,170.303030303,183.03030303,15.1515151515,183.03030303
g48491020326,164.242424242,149.696969697,34.5454545455,149.696969697
g48491020324,152.727272727,151.515151515,0.0,151.515151515
g48491020328,178.181818182,182.424242424,47.2727272727,182.424242424
g48491020319,179.393939394,210.303030303,34.5454545455,210.303030303
g48491020321,91.5151515152,77.5757575758,40.6060606061,77.5757575758
g48491020325,174.545454545,156.363636364,0.0,156.363636364
g48491020320,189.090909091,207.878787879,13.3333333333,207.878787879
g48491020314,161.818181818,203.636363636,0.0,203.636363636
g48491020110,120.0,108.484848485,0.0,108.484848485
g48491020604,332.121212121,318.181818182,0.0,318.181818182
g48491020109,130.909090909,166.060606061,0.0,166.060606061
g48491021601,126.060606061,143.636363636,0.0,143.636363636
g48491020803,130.909090909,161.212121212,0.0,161.212121212
g48491020805,201.818181818,219.393939394,12.1212121212,219.393939394
g48491020202,181.818181818,150.303030303,0.0,150.303030303
g48491020204,172.121212121,224.242424242,0.0,224.242424242
g48491020112,151.515151515,146.666666667,0.0,146.666666667
g48491021602,147.878787879,173.939393939,0.0,173.939393939
g48491021603,73.3333333333,76.9696969697,0.0,76.9696969697
g48491020106,149.090909091,141.818181818,0.0,141.818181818
g48491020114,150.909090909,157.575757576,0.0,157.575757576
g48491020108,149.696969697,112.727272727,0.0,112.727272727
g48491020406,216.363636364,215.757575758,44.8484848485,215.757575758
g48491020405,231.515151515,224.848484848,43.0303030303,224.848484848
g48491020504,244.242424242,245.454545455,18.1818181818,245.454545455
g48491020701,110.909090909,103.03030303,0.0,103.03030303
g48491020602,176.363636364,214.545454545,0.0,214.545454545
g48491020704,198.787878788,177.575757576,0.0,177.575757576
g48491021502,149.696969697,164.242424242,0.0,164.242424242
g48491021503,166.060606061,157.575757576,0.0,157.575757576
g48491020403,90.9090909091,96.3636363636,0.0,96.3636363636
g48491021203,124.848484848,137.575757576,11.5151515152,137.575757576
g48491020503,127.878787879,123.636363636,0.0,123.636363636
g48491020302,110.909090909,105.454545455,21.2121212121,105.454545455
g48491021000,104.848484848,120.0,0.0,120.0
g48491021401,244.848484848,252.727272727,0.0,252.727272727
g48491021201,96.9696969697,96.3636363636,0.0,96.3636363636
g48491021100,98.1818181818,112.121212121,0.0,112.121212121
g48491020404,129.696969697,112.121212121,32.7272727273,112.121212121
g48491021202,133.333333333,133.939393939,0.0,133.939393939
g48491020703,221.212121212,238.787878788,0.0,238.787878788
g48491021403,135.757575758,164.242424242,0.0,164.242424242
g48491020310,103.636363636,96.3636363636,9.09090909091,96.3636363636
g48491020900,104.848484848,120.0,4.84848484848,120.0
g48491021300,76.9696969697,82.4242424242,0.0,82.4242424242
g48491021402,116.96969697,158.181818182,0.0,158.181818182
g48491020301,151.515151515,161.818181818,0.0,161.818181818
g48491020113,122.424242424,127.878787879,0.0,127.878787879
g48491020509,204.848484848,196.363636364,61.8181818182,196.363636364
g48491020605,150.909090909,150.303030303,13.3333333333,150.303030303
g48491020312,213.939393939,207.878787879,25.4545454545,207.878787879
g48491020410,180.0,194.545454545,29.0909090909,194.545454545
g48491020316,151.515151515,167.878787879,0.0,167.878787879
g48491020323,94.5454545455,81.2121212121,23.0303030303,81.2121212121
g48491020327,160.606060606,168.484848485,0.0,168.484848485
g48491020322,261.212121212,232.727272727,21.2121212121,232.727272727
g48491020313,218.787878788,207.878787879,0.0,207.878787879
g48491020315,132.727272727,129.696969697,0.0,129.696969697
g48491020510,216.96969697,226.060606061,8.48484848485,226.060606061
g48491020708,192.121212121,249.090909091,0.0,249.090909091
g48491020706,114.545454545,120.606060606,0.0,120.606060606
g48491021505,178.181818182,192.121212121,0.0,192.121212121
g48491020807,212.727272727,198.181818182,14.5454545455,198.181818182
g48491020809,176.96969697,175.151515152,0.0,175.151515152
g48491020115,133.333333333,138.787878788,0.0,138.787878788
g48491020111,84.8484848485,84.8484848485,0.0,84.8484848485
g48491020105,126.060606061,146.060606061,0.0,146.060606061
g48491020203,47.2727272727,53.3333333333,0.0,53.3333333333
g48491020201,118.181818182,126.060606061,0.0,126.060606061
g48491020107,100.606060606,126.060606061,0.0,126.060606061
g48491021508,305.454545455,343.636363636,0.0,343.636363636
g48491020808,127.878787879,129.090909091,0.0,129.090909091
g48491021506,192.121212121,195.757575758,0.0,195.757575758
g48491020806,111.515151515,96.9696969697,0.0,96.9696969697
g48491021504,202.424242424,210.909090909,0.0,210.909090909
g48021950501,238.787878788,278.181818182,0.0,278.181818182
g48021950801,264.848484848,283.636363636,0.0,283.636363636
g48021950802,251.515151515,258.787878788,0.0,258.787878788
g48021950502,197.575757576,232.121212121,19.3939393939,232.121212121
g48021950700,109.090909091,140.0,0.0,140.0
g48021950600,156.363636364,172.727272727,0.0,172.727272727
g48021950200,204.848484848,270.909090909,38.7878787879,270.909090909
g48021950100,295.151515152,299.393939394,0.0,299.393939394
g48021950300,260.0,303.03030303,39.3939393939,303.03030303
g48021950400,270.303030303,262.424242424,0.0,262.424242424
g48055960102,160.606060606,186.666666667,0.0,186.666666667
g48055960101,168.484848485,172.121212121,0.0,172.121212121
g48055960500,194.545454545,232.121212121,0.0,232.121212121
g48055960700,179.393939394,185.454545455,29.0909090909,185.454545455
g48055960600,112.121212121,139.393939394,0.0,139.393939394
g48055960400,144.242424242,168.484848485,1.81818181818,168.484848485
g48055960300,120.0,142.424242424,6.66666666667,142.424242424
g48055960200,160.0,177.575757576,0.0,177.575757576
