id,ACS11_5yr_B25046001,ACS11_5yr_B01003001,ACS11_5yr_B08013001,ACS11_5yr_B08134001
g48491021300,117.575757576,213.939393939,3049.6969697,77.5757575758
g48491021402,117.575757576,318.181818182,6653.33333333,156.96969697
g48491020301,166.060606061,350.303030303,10190.9090909,173.939393939
g48491020113,173.939393939,180.0,4648.48484848,123.636363636
g48491020509,244.242424242,240.0,6907.87878788,204.848484848
g48491020605,196.96969697,271.515151515,5575.75757576,158.181818182
g48491020312,236.363636364,299.393939394,9616.96969697,200.0
g48491020410,254.545454545,301.818181818,6280.0,196.363636364
g48491020316,181.212121212,294.545454545,4021.21212121,167.272727273
g48491020323,118.787878788,162.424242424,3348.48484848,89.696969697
g48491020327,178.181818182,195.757575758,5770.90909091,177.575757576
g48491020322,255.757575758,269.090909091,6764.24242424,245.454545455
g48491020313,254.545454545,390.303030303,7162.42424242,218.787878788
g48491020315,273.939393939,385.454545455,3951.51515152,150.303030303
g48491020510,281.818181818,336.96969697,9546.66666667,210.303030303
g48491020708,373.939393939,447.272727273,5370.90909091,218.181818182
g48491020706,0.0,0,3613.33333333,123.03030303
g48491021505,221.212121212,307.878787879,5884.84848485,188.484848485
g48491020807,270.909090909,246.060606061,5632.12121212,201.212121212
g48491020809,215.151515152,290.909090909,6712.12121212,164.242424242
g48491020115,0.0,0,4942.42424242,133.939393939
g48491020111,92.1212121212,180.0,4535.75757576,84.8484848485
g48491020105,187.272727273,246.666666667,3469.6969697,140.0
g48491020203,150.303030303,183.636363636,2772.12121212,53.3333333333
g48491020201,125.454545455,132.727272727,2927.87878788,122.424242424
g48491020107,0.0,0,2501.81818182,118.181818182
g48491021508,510.303030303,593.939393939,10113.3333333,352.727272727
g48491020808,158.181818182,227.272727273,3565.45454545,127.878787879
g48491021506,242.424242424,255.757575758,5603.03030303,192.727272727
g48491020806,0.0,0,3537.57575758,118.181818182
g48491021504,273.939393939,449.090909091,6932.72727273,203.636363636
g48021950501,376.96969697,430.303030303,11552.1212121,275.151515152
g48021950801,367.272727273,592.121212121,11867.2727273,283.03030303
g48021950802,273.333333333,586.666666667,12953.3333333,256.96969697
g48021950502,339.393939394,438.787878788,9959.39393939,232.727272727
g48021950700,192.121212121,163.636363636,5190.3030303,124.242424242
g48021950600,272.121212121,350.909090909,7344.84848485,172.727272727
g48021950200,428.484848485,252.727272727,11354.5454545,273.333333333
g48021950100,408.484848485,606.060606061,15006.6666667,293.939393939
g48021950300,470.909090909,543.03030303,15723.030303,311.515151515
g48021950400,382.424242424,500.606060606,11289.6969697,267.878787879
g48055960102,200.606060606,329.090909091,9956.36363636,199.393939394
g48055960101,260.606060606,485.454545455,8800.60606061,178.181818182
g48055960500,250.909090909,427.272727273,5886.06060606,217.575757576
g48055960700,240.606060606,136.96969697,10407.2727273,184.848484848
g48055960600,189.090909091,230.303030303,7421.21212121,136.363636364
g48055960400,171.515151515,253.333333333,5260.60606061,169.090909091
g48055960300,189.696969697,232.121212121,5440.0,127.878787879
g48055960200,213.939393939,291.515151515,7150.3030303,169.696969697
